O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,O2_7,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,BOD5_1,BOD5_2,BOD5_3,BOD5_4,BOD5_5,BOD5_6,BOD5_7,O2_mean,O2_std,NH4_mean,NH4_std,NO2_mean,NO2_std,NO3_mean,NO3_std,BOD5_mean,BOD5_std,O2_sum,NH4_sum,NO2_sum,NO3_sum,BOD5_sum,target
9.4,8.6,9.0,8.37,6.025,9.805,5.03,0.3,0.3,1.64,4.9,16.645,0.31,0.429,0.012,0.08,0.134,0.902,2.45,0.056,0.567,0.4,1.3,2.095,14.775,4.58,0.636,2.025,7.9,6.7,4.725,6.075,5.725,6.625,4.4,8.032857142857143,1.799485706951797,3.503428571428571,6.0318278561074905,0.6001428571428572,0.8797754313026761,3.687285714285714,5.08016796685194,6.021428571428571,1.2079104350272083,56.23,24.523999999999997,4.2010000000000005,25.810999999999996,42.15,High
8.3,9.0,9.545,6.37,5.07,10.07,7.15,0.225,0.2,0.65,5.562,16.645,0.38,0.429,0.07,0.046,0.064,0.902,1.075,0.064,0.567,5.8,6.025,4.9,15.775,14.775,4.9,4.97,4.275,4.275,2.04,5.725,5.725,2.95,2.23,7.929285714285713,1.8115932871633296,3.4415714285714283,6.136265662902339,0.3982857142857143,0.44637529586873953,8.163571428571428,4.887151278510583,3.8885714285714283,1.532567873118279,55.504999999999995,24.090999999999998,2.7880000000000003,57.144999999999996,27.22,High
9.1,8.6,9.545,8.37,6.025,9.805,5.03,0.15,0.2,1.848,8.625,12.175,0.38,0.844,0.05,0.06,0.074,1.252,0.746,0.056,0.19,0.4,1.3,2.095,14.775,2.02,0.636,0.76,5.0,5.4,3.95,4.95,6.75,3.5,3.1,8.067857142857141,1.8276233591353395,3.4602857142857144,4.884338055263501,0.34685714285714286,0.47128598132182564,3.140857142857143,5.172801640264568,4.664285714285714,1.251570442056128,56.474999999999994,24.222,2.428,21.986,32.65,High
7.1,7.7,9.265,6.265,9.265,10.29,6.015,0.3,0.2,1.64,3.65,2.725,0.429,0.429,0.05,0.05,0.082,0.902,2.74,0.07,0.05,1.4,1.4,3.96,6.85,5.01,3.96,3.73,4.5,3.2,2.4,5.2,8.55,2.94,2.5,7.985714285714286,1.647906319575005,1.339,1.3775195098436899,0.5634285714285714,1.0097991313693462,3.7585714285714285,1.9291917873505868,4.184285714285715,2.1881640488688014,55.9,9.373,3.944,26.31,29.290000000000003,Low
6.25,8.5,9.5,7.9,5.7,10.11,10.16,0.895,0.825,1.12,1.3,7.69,0.37,0.294,0.057,0.02,0.077,0.805,1.69,0.013,0.15,4.2,4.667,4.66,7.78,5.64,4.48,4.48,4.913,4.477,2.247,5.8,6.75,2.29,2.9,8.302857142857144,1.7952781983647574,1.784857142857143,2.6294955427845492,0.4017142857142857,0.6333444861173405,5.129571428571429,1.2535129114004446,4.196714285714285,1.770114470336661,58.120000000000005,12.494,2.812,35.907000000000004,29.377,Low
8.933,8.933,12.7,7.5,8.11,10.4,10.46,0.473,0.54,0.714,4.39,12.42,0.21,0.51,0.08,0.08,0.026,0.42,1.454,0.05,0.05,4.867,4.5,2.02,19.355,6.05,2.07,1.8,4.8,4.867,3.9,3.5,5.5,2.155,2.5,9.576571428571429,1.7562097309397928,2.7510000000000003,4.507065157431534,0.30857142857142855,0.523207688890641,5.808857142857143,6.198948363192245,3.8888571428571432,1.2562672789619558,67.036,19.257,2.1599999999999997,40.662,27.222,High
10.5,8.1,8.77,6.49,8.01,8.98,6.94,0.21,0.2,0.93,3.98,5.08,0.33,0.85,0.06,0.12,0.084,0.55,0.07,0.064,0.052,1.4,2.205,2.02,5.24,2.23,1.44,1.73,3.4,4.1,2.04,3.25,6.75,2.95,4.4,8.255714285714285,1.3391148462430589,1.6542857142857144,2.011242212687283,0.14285714285714288,0.18092303020108538,2.323571428571429,1.3295698373462572,3.8414285714285716,1.4957208805057687,57.78999999999999,11.58,1.0000000000000002,16.265,26.89,High
7.1,7.5,9.6,9.6,9.6,10.0,6.9,0.4,0.5,1.0,2.5,5.2,0.37,0.53,0.03,0.04,0.082,0.66,0.21,0.081,0.191,2.2,4.2,7.98,5.2,6.85,0.82,0.66,4.1,3.4,2.3,5.4,6.5,3.4,3.0,8.614285714285714,1.3728663098648406,1.5,1.7966542980402955,0.18485714285714286,0.22089245390116025,3.987142857142857,2.8853001824519304,4.014285714285714,1.4622227046846312,60.3,10.5,1.294,27.91,28.1,Low
5.89,6.49,6.025,9.265,8.01,10.07,6.375,0.24,0.245,1.16,5.56,16.645,0.44,0.429,0.065,0.071,0.208,0.66,1.18,0.056,0.056,0.09,1.205,6.025,10.465,9.45,9.53,5.09,4.8,4.97,7.9,6.075,6.75,6.625,5.0,7.446428571428571,1.683923281817678,3.5312857142857146,6.08989106947696,0.328,0.4346864770536729,5.979285714285715,4.144182095190224,6.017142857142858,1.1595683720780805,52.125,24.719,2.2960000000000003,41.855000000000004,42.120000000000005,Low
8.833,8.167,8.98,7.4,2.28,10.11,10.37,0.247,0.2,0.65,7.85,12.175,0.31,0.429,0.065,0.093,0.082,0.902,0.844,0.056,0.567,2.35,2.15,2.02,10.465,2.02,0.636,1.8,3.333,6.95,3.95,6.2,6.75,3.5,3.0,8.02,2.733336727640169,3.1229999999999998,4.871428127356494,0.3727142857142857,0.38681421651128345,3.0629999999999997,3.3114130417894616,4.811857142857143,1.7411014165915617,56.14,21.860999999999997,2.609,21.441,33.683,High
8.1,8.6,8.625,6.025,9.265,8.76,5.07,0.358,0.2,0.65,5.14,5.015,0.38,0.51,0.08,0.11,0.074,0.902,1.23,0.071,0.064,2.2,2.2,2.095,4.85,3.66,2.52,2.46,3.95,4.8,2.025,6.025,8.625,3.6,3.17,7.777857142857143,1.5852729973700037,1.7504285714285714,2.2773152217134145,0.3615714285714286,0.49065937171078167,2.8550000000000004,1.0272901245509953,4.599285714285714,2.174445194701836,54.445,12.253,2.531,19.985000000000003,32.195,High
6.54,4.98,9.545,9.265,3.29,9.805,5.03,0.145,0.09,1.848,3.85,16.645,0.38,0.844,0.065,0.095,0.074,1.252,1.18,0.037,0.15,1.7,1.62,3.96,14.775,3.73,1.73,0.76,4.7,4.97,4.725,6.075,5.725,2.95,4.14,6.922142857142857,2.6258282140162574,3.4002857142857144,5.989517084436933,0.40757142857142853,0.5537294336716134,4.039285714285715,4.877998589390452,4.755,1.0303478377066002,48.455,23.802,2.8529999999999998,28.275000000000002,33.285,Low
7.25,7.2,9.26,9.265,5.01,10.07,6.025,0.36,0.315,0.12,4.265,7.883,0.44,0.34,0.034,0.099,0.12,0.395,1.23,0.056,0.05,1.665,1.665,7.09,3.96,14.775,3.02,3.73,4.2,4.275,5.025,6.725,7.725,2.63,2.025,7.725714285714285,1.8703529715257594,1.9604285714285712,2.9994826696806043,0.2834285714285715,0.4354300009350363,5.1292857142857144,4.630713973542515,4.657857142857144,2.0500240997421977,54.08,13.722999999999999,1.9840000000000002,35.905,32.605000000000004,Low
5.4,10.4,10.07,8.37,0.2,10.07,6.375,0.18,0.2,0.65,10.09,12.175,0.38,0.844,0.05,0.04,0.208,0.902,0.746,0.056,0.15,4.2,3.37,6.025,9.265,1.03,1.73,1.8,7.1,6.6,6.025,9.55,9.75,3.95,4.14,7.269285714285715,3.6735478180402894,3.502714285714286,5.25209972976795,0.3074285714285714,0.3609094333037294,3.9171428571428573,2.916147368736785,6.730714285714287,2.315171751316787,50.885000000000005,24.519000000000002,2.1519999999999997,27.42,47.11500000000001,Low
7.933,8.433,8.77,9.265,6.015,8.43,7.15,0.04,0.02,1.16,8.625,12.175,0.28,0.429,0.07,0.105,0.134,0.902,1.454,0.056,0.567,0.4,2.205,2.095,4.9,2.02,0.636,1.8,4.2,4.97,2.04,2.8,8.4,2.155,1.83,7.999428571428571,1.0979318219790726,3.2470000000000003,5.00716533246773,0.46971428571428575,0.538795791336481,2.008,1.4675091141113914,3.7707142857142864,2.3582274921563244,55.995999999999995,22.729000000000003,3.2880000000000003,14.056000000000001,26.395000000000003,Low
6.9,8.2,9.0,7.5,7.67,10.07,5.03,0.3,0.21,0.65,3.85,30.26,0.53,0.429,0.04,0.04,0.095,0.902,1.18,0.056,0.05,4.2,3.0,3.96,19.355,6.056,3.62,0.76,3.4,4.1,4.725,5.2,8.415,5.1,5.0,7.767142857142858,1.5987048329373195,5.17557142857143,11.135572606997552,0.3375714285714285,0.4875420860954321,5.850142857142856,6.160702893571248,5.134285714285714,1.5828045482924409,54.370000000000005,36.229000000000006,2.3629999999999995,40.95099999999999,35.94,Low
9.1,8.4,9.545,6.37,11.475,9.805,8.98,0.3,0.3,1.16,10.09,14.515,0.38,0.429,0.03,0.015,0.208,0.902,1.18,0.071,0.19,4.2,3.29,6.025,7.45,7.795,7.695,5.76,2.91,2.52,4.725,5.725,5.725,2.155,4.2,9.096428571428572,1.5434207524351935,3.882,5.899970310659764,0.3708571428571429,0.4706004776068651,6.030714285714285,1.7716880570316467,3.9942857142857138,1.4888010516615613,63.675,27.174,2.596,42.214999999999996,27.959999999999997,High
4.1,7.4,10.6,7.98,7.3,8.7,6.9,0.2,0.18,0.65,2.3,3.29,0.38,0.429,0.06,0.02,0.02,0.22,1.69,0.013,0.08,2.6,2.2,2.02,7.78,8.45,1.33,2.34,4.4,2.4,3.5,3.14,10.2,2.4,4.4,7.5685714285714285,1.9671250474692634,1.0612857142857144,1.2283559085603968,0.3004285714285714,0.6169370192444977,3.8171428571428576,2.9682133474853987,4.348571428571428,2.708600060125947,52.98,7.429,2.1029999999999998,26.720000000000002,30.439999999999998,Low
7.367,7.933,9.265,6.025,7.015,8.695,5.015,0.22,0.247,0.714,4.9,7.01,0.429,0.429,0.034,0.033,0.011,0.55,0.746,0.018,0.105,0.4,0.79,0.64,16.9,17.2,0.76,0.567,3.85,2.4,4.5,5.725,8.025,2.27,3.7,7.330714285714286,1.4795212868003078,1.9927142857142859,2.7791190279346747,0.21385714285714288,0.3034762091561866,5.32242857142857,8.012958959442779,4.352857142857142,2.009149606887736,51.315000000000005,13.949000000000002,1.497,37.25699999999999,30.47,Low
7.5,8.7,12.07,6.83,4.88,9.805,8.15,0.24,0.2,0.698,3.98,24.22,0.38,0.844,0.012,0.078,0.015,0.805,0.746,0.056,0.567,2.4,6.3,2.02,10.98,2.02,1.73,1.8,4.9,4.9,2.04,5.725,5.725,2.155,2.23,8.276428571428571,2.278663194151552,4.3660000000000005,8.85491057737645,0.32557142857142857,0.36369440337681724,3.892857142857143,3.5195582785614556,3.9535714285714287,1.7289055167111607,57.935,30.562,2.279,27.25,27.675,Low
8.3,8.1,9.265,9.265,6.015,8.76,7.795,0.23,0.205,0.65,17.515,14.515,0.53,0.53,0.05,0.054,0.082,0.902,1.454,0.058,0.11,4.3,5.025,4.9,14.175,13.475,3.96,3.78,4.4,3.3,3.95,5.725,6.025,3.025,4.45,8.214285714285714,1.1209275495894335,4.882142857142858,7.656069954151226,0.38714285714285707,0.5636439267751194,7.0878571428571435,4.628945935760157,4.410714285714286,1.1329218440659994,57.5,34.175000000000004,2.7099999999999995,49.615,30.874999999999996,High
6.933,8.5,9.5,9.265,5.75,10.23,8.44,0.33,0.33,0.714,2.273,30.23,0.38,0.62,0.167,0.147,0.208,0.902,2.21,0.081,0.064,1.353,0.905,2.093,22.8,3.72,2.48,1.78,2.167,3.607,4.8,8.0,8.367,2.29,5.2,8.373999999999999,1.5539509859280205,4.982428571428572,11.154249292790363,0.5398571428571428,0.791728368522822,5.018714285714286,7.892137769415116,4.918714285714286,2.5060219282284635,58.617999999999995,34.877,3.779,35.131,34.431,Low
9.7,8.2,9.545,7.6,1.23,9.805,7.15,0.3,0.3,0.68,14.515,14.515,0.28,0.429,0.05,0.03,0.082,0.902,0.746,0.0,0.15,0.09,1.61,1.63,2.025,1.18,1.73,1.8,4.8,5.52,3.95,3.5,8.415,2.155,3.1,7.604285714285714,3.00539297010589,4.431285714285715,6.889862594524551,0.27999999999999997,0.3772585320440083,1.437857142857143,0.6469148394679236,4.491428571428572,2.0501477879365066,53.23,31.019000000000002,1.96,10.065000000000001,31.44,High
4.9,6.9,9.265,9.265,5.2,8.82,5.015,0.392,0.392,0.65,9.265,24.22,0.38,0.429,0.058,0.05,0.08,0.805,1.23,0.03,0.05,1.665,1.665,2.02,4.66,8.625,2.46,1.8,5.45,4.3,4.95,6.5,5.84,2.21,2.9,7.052142857142857,2.0475205679529758,5.104,9.0475704105209,0.3289999999999999,0.48629586330408636,3.2707142857142855,2.586492845166063,4.5928571428571425,1.5644137803632632,49.365,35.728,2.3029999999999995,22.895,32.15,Low
9.7,7.3,9.545,7.6,6.025,9.805,5.03,0.3,0.3,1.64,0.515,16.645,1.285,0.429,0.012,0.08,0.134,0.902,1.454,0.056,0.567,0.4,0.55,3.96,14.775,4.58,1.73,0.76,10.7,6.6,4.725,6.075,5.725,2.95,4.45,7.857857142857143,1.9046059459961286,3.016285714285714,6.03241603655577,0.45785714285714285,0.5491528107219424,3.8221428571428575,5.110939131854713,5.889285714285714,2.441859654326712,55.005,21.113999999999997,3.205,26.755000000000003,41.225,High
7.4,8.4,9.545,7.26,2.34,9.805,5.03,0.3,0.3,0.65,3.85,16.645,0.38,0.429,0.039,0.094,0.208,0.902,0.746,0.064,0.071,1.8,1.62,1.73,14.775,14.89,0.636,1.8,1.56,2.52,4.725,5.725,6.75,4.725,4.14,7.11142857142857,2.647081276748843,3.221999999999999,6.057233664525967,0.30342857142857144,0.36249039396139277,5.321571428571429,6.510000815595005,4.3064285714285715,1.7839883087381165,49.779999999999994,22.553999999999995,2.124,37.251,30.145000000000003,Low
6.95,2.2,9.265,9.265,4.95,8.98,7.695,0.3,0.3,0.65,4.28,17.144,0.37,0.44,0.05,0.03,0.208,0.12,1.056,0.056,0.36,4.2,5.7,2.02,15.86,14.67,0.848,1.8,5.8,4.4,3.95,3.05,7.75,3.5,4.45,7.043571428571428,2.6424605236498087,3.354857142857143,6.250102277258387,0.26857142857142857,0.36606504756343383,6.442571428571428,6.249945569286793,4.7,1.6015617378046967,49.305,23.484,1.88,45.098,32.9,Low
6.49,7.4,9.265,9.265,4.0,11.475,7.15,0.04,0.2,0.65,10.09,3.75,1.285,0.429,0.017,0.039,0.026,0.902,0.845,0.056,0.567,0.09,1.4,1.56,19.355,17.567,0.82,0.76,3.52,2.52,5.725,5.725,5.725,6.625,2.9,7.863571428571428,2.398207167666634,2.349142857142857,3.640985692024045,0.35028571428571426,0.40739813216954995,5.936,8.585011570561024,4.677142857142857,1.6451262797093953,55.045,16.444,2.452,41.552,32.74,Low
7.7,7.7,8.42,7.76,5.01,8.98,7.17,0.6,0.8,1.64,5.515,5.07,0.54,0.53,0.04,0.07,0.084,0.902,0.746,0.071,0.15,0.5,0.95,2.025,10.645,7.795,9.38,5.795,3.95,3.95,3.95,3.95,5.725,2.23,3.9,7.534285714285714,1.2573233095595997,2.099285714285714,2.218603969037415,0.29471428571428576,0.36588282016957024,5.298571428571429,4.17080299451408,3.950714285714285,1.0092506649796693,52.739999999999995,14.694999999999999,2.063,37.09,27.654999999999998,Low
9.1,4.98,11.475,9.115,8.11,8.98,6.375,0.3,0.2,1.64,0.515,16.645,1.285,0.429,0.05,0.06,0.064,0.66,1.075,0.071,0.14,1.3,1.61,14.67,19.355,20.05,9.53,7.695,4.6,4.97,2.04,2.8,8.4,2.155,2.6,8.305000000000001,2.1059914529741093,3.002,6.0400343266132746,0.3028571428571429,0.4049701341133806,10.601428571428572,7.739632158725695,3.9378571428571436,2.2832539958409814,58.135000000000005,21.014,2.12,74.21000000000001,27.565000000000005,Low
6.933,6.933,9.5,9.2,1.69,10.0,8.367,0.53,0.52,0.65,2.2,24.28,0.28,0.35,0.157,0.15,0.011,0.55,0.567,0.056,0.066,1.103,1.103,1.64,10.27,10.42,1.0,1.0,4.5,4.933,4.8,10.4,5.75,2.28,3.9,7.517571428571429,2.836917508913672,4.115714285714286,8.915897519118788,0.22242857142857145,0.2353825660089387,3.790857142857143,4.4828921627513125,5.223285714285715,2.5257471973184304,52.623000000000005,28.810000000000002,1.5570000000000002,26.536,36.563,Low
7.5,8.5,7.96,9.11,3.29,10.07,7.15,0.36,0.435,0.714,7.85,12.175,0.21,0.51,0.02,0.02,0.07,0.805,1.075,0.013,0.191,0.4,0.55,1.6,3.96,2.23,0.19,1.8,3.5,4.2,3.95,6.075,8.4,3.5,3.0,7.654285714285714,2.1636609187736813,3.1791428571428573,4.8345510108168765,0.31342857142857145,0.43938170844299573,1.532857142857143,1.3232247766437149,4.660714285714286,1.9214717201740368,53.58,22.254,2.194,10.73,32.625,Low
7.367,7.8,9.545,7.7,9.805,9.805,6.375,0.367,0.2,1.844,3.9,12.42,0.28,0.429,0.04,0.04,0.026,0.22,0.913,0.071,0.195,1.7,1.62,2.02,10.09,9.29,1.73,1.8,3.367,4.97,3.95,5.725,5.725,3.6,4.2,8.342428571428572,1.3695247176962349,2.777142857142857,4.459376056078227,0.21500000000000002,0.31763081294693896,4.035714285714286,3.871497802930442,4.505285714285715,0.9753754344329355,58.397,19.44,1.5050000000000001,28.25,31.537000000000003,Low
7.5,8.5,9.545,7.6,4.55,9.805,7.15,0.3,0.3,1.16,3.85,16.645,0.28,0.429,0.123,0.125,0.208,0.66,1.454,0.056,0.037,4.3,5.105,2.095,14.775,14.775,2.73,1.8,4.8,4.275,8.5,6.075,8.415,8.625,8.25,7.807142857142857,1.7639771756432894,3.2805714285714282,6.0322953579640215,0.38042857142857145,0.5188380791547131,6.511428571428572,5.765461613699948,6.991428571428571,1.8963159772870883,54.65,22.964,2.6630000000000003,45.58,48.94,High
8.7,8.9,7.89,7.26,4.88,8.98,5.03,0.24,0.2,0.68,5.86,24.22,0.36,0.844,0.05,0.04,0.064,0.902,1.18,0.037,0.072,4.9,5.52,3.71,10.98,8.45,2.52,1.8,5.7,4.17,3.95,6.075,6.73,3.6,7.37,7.377142857142857,1.7635070577848966,4.629142857142857,8.872684588641919,0.33499999999999996,0.48907702188237523,5.411428571428572,3.286662078621351,5.3707142857142856,1.4744954746495171,51.64,32.403999999999996,2.3449999999999998,37.88,37.595,High
9.4,7.4,9.0,9.115,8.11,8.98,6.375,0.3,0.3,1.64,0.515,16.645,1.285,0.429,0.02,0.02,0.134,0.902,1.075,0.056,0.567,1.9,3.2,2.095,13.775,20.05,9.53,7.695,10.7,7.3,2.04,2.8,8.4,2.95,1.6,8.34,1.1080876920773615,3.016285714285714,6.03241603655577,0.3962857142857143,0.44968756349481664,8.320714285714285,6.774782547907243,5.112857142857144,3.619736244008737,58.379999999999995,21.113999999999997,2.774,58.245,35.790000000000006,Low
8.76,8.4,8.77,7.6,0.6,10.23,7.15,0.145,0.122,0.65,10.09,30.26,0.28,0.429,0.29,0.099,0.026,0.902,1.075,0.056,0.064,1.5,1.3,0.65,19.355,4.58,1.73,1.8,4.97,4.8,3.95,3.68,8.4,2.155,3.0,7.3585714285714285,3.137565024938015,5.996571428571429,11.302540036899417,0.35885714285714293,0.4415104485631978,4.416428571428571,6.703903535929467,4.422142857142857,2.008415331264214,51.51,41.976000000000006,2.5120000000000005,30.915,30.955,High
9.1,7.5,10.6,6.48,6.02,10.42,6.36,0.16,0.15,0.12,7.78,14.883,0.429,0.429,0.027,0.3,0.026,0.53,0.85,0.071,0.11,1.4,1.4,1.96,3.96,2.42,1.78,1.78,5.0,4.8,4.1,6.5,6.75,2.3,3.0,8.06857142857143,1.9563522907989463,3.4215714285714283,5.780896898611923,0.27342857142857147,0.31321018349922636,2.0999999999999996,0.8912911982062877,4.635714285714286,1.659496481294423,56.480000000000004,23.950999999999997,1.9140000000000001,14.699999999999998,32.45,High
7.17,8.9,8.77,7.6,4.95,8.98,8.32,0.225,0.2,0.714,13.97,24.22,0.31,0.429,0.034,0.046,0.026,0.902,1.18,0.037,0.056,0.59,1.62,1.96,4.9,8.45,1.73,1.8,2.52,1.72,4.725,5.725,5.725,2.95,2.025,7.812857142857143,1.435963257256423,5.724000000000001,9.602956402414137,0.3258571428571428,0.495172841396964,3.007142857142857,2.743451076568308,3.627142857142857,1.7270226237247566,54.690000000000005,40.068000000000005,2.2809999999999997,21.05,25.389999999999997,High
8.425,8.425,8.625,6.625,7.625,8.43,8.11,0.53,0.425,0.65,5.848,6.055,0.429,0.51,0.08,0.095,0.082,0.805,1.054,0.028,0.105,0.61,1.855,6.025,7.795,7.795,8.76,8.26,3.35,2.4,4.725,5.725,8.25,2.04,3.9,8.037857142857144,0.7035733623372024,2.0638571428571426,2.657497283069883,0.3212857142857143,0.42235992324308513,5.871428571428571,3.2986685625740404,4.341428571428571,2.144055180970774,56.265,14.447,2.249,41.099999999999994,30.389999999999997,Low
6.54,4.98,7.96,9.265,6.015,10.07,7.15,0.3,0.3,1.16,8.625,12.175,0.31,0.429,0.012,0.08,0.134,0.66,1.18,0.056,0.567,0.4,0.55,14.67,19.355,4.58,2.02,1.8,4.6,4.97,4.725,3.95,6.75,3.5,3.9,7.425714285714285,1.802443777605441,3.3284285714285713,4.947691948681488,0.3841428571428572,0.4366854049051135,6.196428571428571,7.635597943342811,4.627857142857144,1.0717658992789156,51.98,23.299,2.689,43.375,32.395,Low
5.55,8.3,9.545,7.6,6.025,8.43,5.03,0.122,0.125,1.8,10.09,13.515,0.28,0.429,0.058,0.03,0.134,1.252,1.454,0.056,0.037,1.235,2.345,3.96,14.775,4.58,2.21,3.45,4.7,4.25,3.95,6.075,5.725,3.5,3.3,7.211428571428572,1.6927805387530164,3.765857142857143,5.608394227363463,0.43157142857142855,0.6330570951456794,4.650714285714287,4.607339641423082,4.499999999999999,1.066634114086613,50.480000000000004,26.361,3.021,32.55500000000001,31.499999999999996,Low
